;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 3/18/2015 5:04:38 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0042	0x0871      	MOVF       R0+1, 0
0x0043	0x00D1      	MOVWF      _a+1
;ultrasonic_sensor.c,31 :: 		}
L_interrupt2:
;ultrasonic_sensor.c,32 :: 		}
L_interrupt0:
;ultrasonic_sensor.c,33 :: 		INTCON.RBIF = 0;                     //Clear PORTB On-Change Interrupt flag
0x0044	0x100B      	BCF        INTCON, 0
;ultrasonic_sensor.c,34 :: 		INTCON.RBIE = 1;                     //Enable PORTB On-Change Interrupt
0x0045	0x158B      	BSF        INTCON, 3
;ultrasonic_sensor.c,35 :: 		}
L_end_interrupt:
L__interrupt13:
0x0046	0x082D      	MOVF       45, 0
0x0047	0x00F0      	MOVWF      R0
0x0048	0x082C      	MOVF       44, 0
0x0049	0x00F1      	MOVWF      R1
0x004A	0x082B      	MOVF       43, 0
0x004B	0x00F2      	MOVWF      R2
0x004C	0x082A      	MOVF       42, 0
0x004D	0x00F3      	MOVWF      R3
0x004E	0x0829      	MOVF       41, 0
0x004F	0x00F4      	MOVWF      R4
0x0050	0x0828      	MOVF       40, 0
0x0051	0x00F5      	MOVWF      R5
0x0052	0x0827      	MOVF       39, 0
0x0053	0x00F6      	MOVWF      R6
0x0054	0x0826      	MOVF       38, 0
0x0055	0x00F7      	MOVWF      R7
0x0056	0x0825      	MOVF       37, 0
0x0057	0x00F8      	MOVWF      R8
0x0058	0x0824      	MOVF       36, 0
0x0059	0x00FA      	MOVWF      R10
0x005A	0x0823      	MOVF       35, 0
0x005B	0x00FB      	MOVWF      R11
0x005C	0x0822      	MOVF       34, 0
0x005D	0x00FC      	MOVWF      R12
0x005E	0x0821      	MOVF       33, 0
0x005F	0x00FD      	MOVWF      R13
0x0060	0x0856      	MOVF       ___savePCLATH, 0
0x0061	0x008A      	MOVWF      PCLATH
0x0062	0x0E55      	SWAPF      ___saveSTATUS, 0
0x0063	0x0083      	MOVWF      STATUS
0x0064	0x0EFF      	SWAPF      R15, 1
0x0065	0x0E7F      	SWAPF      R15, 0
0x0066	0x0009      	RETFIE
; end of _interrupt
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0067	0x3010      	MOVLW      16
0x0068	0x1283      	BCF        STATUS, 5
0x0069	0x1303      	BCF        STATUS, 6
0x006A	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x006B	0x0BFD      	DECFSZ     R13, 1
0x006C	0x286B      	GOTO       L_Delay_50us2
0x006D	0x0000      	NOP
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x006E	0x0008      	RETURN
; end of _Delay_50us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x006F	0x3008      	MOVLW      8
0x0070	0x1283      	BCF        STATUS, 5
0x0071	0x1303      	BCF        STATUS, 6
0x0072	0x00FC      	MOVWF      R12
0x0073	0x3023      	MOVLW      35
0x0074	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x0075	0x0BFD      	DECFSZ     R13, 1
0x0076	0x2875      	GOTO       L_Delay_5500us5
0x0077	0x0BFC      	DECFSZ     R12, 1
0x0078	0x2875      	GOTO       L_Delay_5500us5
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0079	0x0008      	RETURN
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x007A	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x007B	0x0008      	RETURN
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x007C	0x1283      	BCF        STATUS, 5
0x007D	0x1303      	BCF        STATUS, 6
0x007E	0x1BEC      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x007F	0x2882      	GOTO       L__Lcd_Cmd21
0x0080	0x1387      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x0081	0x2883      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x0082	0x1787      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x0083	0x1B6C      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x0084	0x2887      	GOTO       L__Lcd_Cmd23
0x0085	0x1307      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x0086	0x2888      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x0087	0x1707      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x0088	0x1AEC      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x0089	0x288C      	GOTO       L__Lcd_Cmd25
0x008A	0x1287      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x008B	0x288D      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x008C	0x1687      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x008D	0x1A6C      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x008E	0x2891      	GOTO       L__Lcd_Cmd27
0x008F	0x1207      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x0090	0x2892      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x0091	0x1607      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x0092	0x1852      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0093	0x2896      	GOTO       L__Lcd_Cmd29
0x0094	0x1508      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x0095	0x2897      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x0096	0x1108      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x0097	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x0098	0x207A      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x0099	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x009A	0x19EC      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x009B	0x289E      	GOTO       L__Lcd_Cmd31
0x009C	0x1387      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x009D	0x289F      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x009E	0x1787      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x009F	0x196C      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00A0	0x28A3      	GOTO       L__Lcd_Cmd33
0x00A1	0x1307      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00A2	0x28A4      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00A3	0x1707      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00A4	0x18EC      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00A5	0x28A8      	GOTO       L__Lcd_Cmd35
0x00A6	0x1287      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00A7	0x28A9      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00A8	0x1687      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00A9	0x186C      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00AA	0x28AD      	GOTO       L__Lcd_Cmd37
0x00AB	0x1207      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00AC	0x28AE      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x00AD	0x1607      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x00AE	0x1852      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00AF	0x28B2      	GOTO       L__Lcd_Cmd39
0x00B0	0x1508      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00B1	0x28B3      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x00B2	0x1108      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x00B3	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x00B4	0x207A      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x00B5	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x00B6	0x1C52      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00B7	0x28BA      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x00B8	0x206F      	CALL       _Delay_5500us
0x00B9	0x28BB      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x00BA	0x2067      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x00BB	0x0008      	RETURN
; end of _Lcd_Cmd
_SETFUN32:
;__Lib_MathDouble.c,138 :: 		
;__Lib_MathDouble.c,145 :: 		
0x00BC	0x157B      	BSF        R11, 2
;__Lib_MathDouble.c,146 :: 		
0x00BD	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,147 :: 		
0x00BE	0x28C6      	GOTO       SETFUN32EEE
;__Lib_MathDouble.c,148 :: 		
0x00BF	0x3001      	MOVLW      1
;__Lib_MathDouble.c,149 :: 		
0x00C0	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,150 :: 		
0x00C1	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,151 :: 		
0x00C2	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,152 :: 		
0x00C3	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,153 :: 		
0x00C4	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,154 :: 		
0x00C5	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,155 :: 		
SETFUN32EEE:
;__Lib_MathDouble.c,156 :: 		
0x00C6	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,158 :: 		
L_end_SETFUN32:
0x00C7	0x0008      	RETURN
; end of _SETFUN32
_Div_16x16_U:
;__Lib_Math.c,215 :: 		
;__Lib_Math.c,222 :: 		
0x00C8	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,223 :: 		
0x00C9	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,224 :: 		
0x00CA	0x01F8      	CLRF       R8
;__Lib_Math.c,225 :: 		
0x00CB	0x01F9      	CLRF       R9
;__Lib_Math.c,226 :: 		
0x00CC	0x3010      	MOVLW      16
;__Lib_Math.c,227 :: 		
0x00CD	0x00FC      	MOVWF      R12
;__Lib_Math.c,228 :: 		
0x00CE	0x0D71      	RLF        R1, 0
;__Lib_Math.c,229 :: 		
0x00CF	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,230 :: 		
0x00D0	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,231 :: 		
0x00D1	0x0874      	MOVF       R4, 0
;__Lib_Math.c,232 :: 		
0x00D2	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,233 :: 		
0x00D3	0x0875      	MOVF       R5, 0
;__Lib_Math.c,234 :: 		
0x00D4	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,235 :: 		
0x00D5	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,236 :: 		
0x00D6	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,237 :: 		
0x00D7	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,238 :: 		
0x00D8	0x28E0      	GOTO       $+8
;__Lib_Math.c,239 :: 		
0x00D9	0x0874      	MOVF       R4, 0
;__Lib_Math.c,240 :: 		
0x00DA	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,241 :: 		
0x00DB	0x0875      	MOVF       R5, 0
;__Lib_Math.c,242 :: 		
0x00DC	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,243 :: 		
0x00DD	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,244 :: 		
0x00DE	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,245 :: 		
0x00DF	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,246 :: 		
0x00E0	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,247 :: 		
0x00E1	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,248 :: 		
0x00E2	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,249 :: 		
0x00E3	0x28CE      	GOTO       $-21
;__Lib_Math.c,251 :: 		
L_end_Div_16x16_U:
0x00E4	0x0008      	RETURN
; end of _Div_16x16_U
_FIXSIGN32:
;__Lib_MathDouble.c,112 :: 		
;__Lib_MathDouble.c,116 :: 		
0x00E5	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,117 :: 		
0x00E6	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,118 :: 		
0x00E7	0x3000      	MOVLW      0
;__Lib_MathDouble.c,120 :: 		
L_end_FIXSIGN32:
0x00E8	0x0008      	RETURN
; end of _FIXSIGN32
_RES032:
;__Lib_MathDouble.c,123 :: 		
;__Lib_MathDouble.c,128 :: 		
0x00E9	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,129 :: 		
0x00EA	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,130 :: 		
0x00EB	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,131 :: 		
0x00EC	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,132 :: 		
0x00ED	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,133 :: 		
0x00EE	0x3000      	MOVLW      0
;__Lib_MathDouble.c,135 :: 		
L_end_RES032:
0x00EF	0x0008      	RETURN
; end of _RES032
_NRM3232:
;__Lib_MathDouble.c,167 :: 		
;__Lib_MathDouble.c,173 :: 		
;__Lib_MathDouble.c,175 :: 		
0x00F0	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,176 :: 		
0x00F1	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,177 :: 		
0x00F2	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,178 :: 		
0x00F3	0x2905      	GOTO       NORM3232
;__Lib_MathDouble.c,179 :: 		
0x00F4	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,180 :: 		
0x00F5	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,181 :: 		
0x00F6	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,182 :: 		
0x00F7	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,183 :: 		
0x00F8	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,184 :: 		
0x00F9	0x15A0      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,186 :: 		
0x00FA	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,187 :: 		
0x00FB	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,188 :: 		
0x00FC	0x2905      	GOTO       NORM3232
;__Lib_MathDouble.c,189 :: 		
0x00FD	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,190 :: 		
0x00FE	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,191 :: 		
0x00FF	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,192 :: 		
0x0100	0x11A0      	BCF        __math_tempbD, 3
;__Lib_MathDouble.c,193 :: 		
0x0101	0x1620      	BSF        __math_tempbD, 4
;__Lib_MathDouble.c,195 :: 		
0x0102	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,196 :: 		
0x0103	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,197 :: 		
0x0104	0x2913      	GOTO       JPNRES032
;__Lib_MathDouble.c,198 :: 		
NORM3232:
;__Lib_MathDouble.c,199 :: 		
0x0105	0x0820      	MOVF       __math_tempbD, 0
;__Lib_MathDouble.c,200 :: 		
0x0106	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,201 :: 		
0x0107	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,202 :: 		
0x0108	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,203 :: 		
0x0109	0x2917      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,204 :: 		
0x010A	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,205 :: 		
NORM3232A:
;__Lib_MathDouble.c,206 :: 		
0x010B	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,207 :: 		
0x010C	0x291B      	GOTO       JMPNFIXSIGN32
;__Lib_MathDouble.c,208 :: 		
0x010D	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,209 :: 		
0x010E	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,210 :: 		
0x010F	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,211 :: 		
0x0110	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,212 :: 		
0x0111	0x290B      	GOTO       NORM3232A
;__Lib_MathDouble.c,213 :: 		
0x0112	0x2917      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,214 :: 		
JPNRES032:
;__Lib_MathDouble.c,215 :: 		
0x0113	0x3001      	MOVLW      1
;__Lib_MathDouble.c,216 :: 		
0x0114	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,218 :: 		
0x0115	0x20E9      	CALL       _RES032
;__Lib_MathDouble.c,220 :: 		
0x0116	0x291E      	GOTO       NORM32EEE
;__Lib_MathDouble.c,221 :: 		
JPNSETFUN32:
;__Lib_MathDouble.c,222 :: 		
0x0117	0x3002      	MOVLW      2
;__Lib_MathDouble.c,223 :: 		
0x0118	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,225 :: 		
0x0119	0x20BC      	CALL       _SETFUN32
;__Lib_MathDouble.c,227 :: 		
0x011A	0x291E      	GOTO       NORM32EEE
;__Lib_MathDouble.c,228 :: 		
JMPNFIXSIGN32:
;__Lib_MathDouble.c,229 :: 		
0x011B	0x3004      	MOVLW      4
;__Lib_MathDouble.c,230 :: 		
0x011C	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,232 :: 		
0x011D	0x20E5      	CALL       _FIXSIGN32
;__Lib_MathDouble.c,234 :: 		
NORM32EEE:
;__Lib_MathDouble.c,236 :: 		
L_end_NRM3232:
0x011E	0x0008      	RETURN
; end of _NRM3232
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x011F	0x1283      	BCF        STATUS, 5
0x0120	0x1303      	BCF        STATUS, 6
0x0121	0x0854      	MOVF       ___DoICPAddr+1, 0
0x0122	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x0123	0x0853      	MOVF       ___DoICPAddr, 0
0x0124	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x0125	0x0008      	RETURN
; end of _____DoICP
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x0126	0x1283      	BCF        STATUS, 5
0x0127	0x1303      	BCF        STATUS, 6
0x0128	0x1052      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x0129	0x0867      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x012A	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x012B	0x207C      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x012C	0x1452      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x012D	0x0008      	RETURN
; end of _Lcd_Chr_CP
_WordToStr:
;__Lib_Conversions.c,84 :: 		
;__Lib_Conversions.c,89 :: 		
0x012E	0x1283      	BCF        STATUS, 5
0x012F	0x1303      	BCF        STATUS, 6
0x0130	0x01EA      	CLRF       WordToStr_len_L0
L_WordToStr6:
0x0131	0x3005      	MOVLW      5
0x0132	0x026A      	SUBWF      WordToStr_len_L0, 0
0x0133	0x1803      	BTFSC      STATUS, 0
0x0134	0x293C      	GOTO       L_WordToStr7
;__Lib_Conversions.c,90 :: 		
0x0135	0x086A      	MOVF       WordToStr_len_L0, 0
0x0136	0x0769      	ADDWF      FARG_WordToStr_output, 0
0x0137	0x0084      	MOVWF      FSR
0x0138	0x3020      	MOVLW      32
0x0139	0x0080      	MOVWF      INDF
;__Lib_Conversions.c,89 :: 		
0x013A	0x0AEA      	INCF       WordToStr_len_L0, 1
;__Lib_Conversions.c,90 :: 		
0x013B	0x2931      	GOTO       L_WordToStr6
L_WordToStr7:
;__Lib_Conversions.c,91 :: 		
0x013C	0x086A      	MOVF       WordToStr_len_L0, 0
0x013D	0x0769      	ADDWF      FARG_WordToStr_output, 0
0x013E	0x0084      	MOVWF      FSR
0x013F	0x0180      	CLRF       INDF
0x0140	0x03EA      	DECF       WordToStr_len_L0, 1
;__Lib_Conversions.c,93 :: 		
L_WordToStr9:
;__Lib_Conversions.c,94 :: 		
0x0141	0x086A      	MOVF       WordToStr_len_L0, 0
0x0142	0x0769      	ADDWF      FARG_WordToStr_output, 0
0x0143	0x00EB      	MOVWF      FLOC__WordToStr
0x0144	0x300A      	MOVLW      10
0x0145	0x00F4      	MOVWF      R4
0x0146	0x01F5      	CLRF       R4+1
0x0147	0x0867      	MOVF       FARG_WordToStr_input, 0
0x0148	0x00F0      	MOVWF      R0
0x0149	0x0868      	MOVF       FARG_WordToStr_input+1, 0
0x014A	0x00F1      	MOVWF      R0+1
0x014B	0x20C8      	CALL       _Div_16x16_U
0x014C	0x0878      	MOVF       R8, 0
0x014D	0x00F0      	MOVWF      R0
0x014E	0x0879      	MOVF       R8+1, 0
0x014F	0x00F1      	MOVWF      R0+1
0x0150	0x3030      	MOVLW      48
0x0151	0x07F0      	ADDWF      R0, 1
0x0152	0x086B      	MOVF       FLOC__WordToStr, 0
0x0153	0x0084      	MOVWF      FSR
0x0154	0x0870      	MOVF       R0, 0
0x0155	0x0080      	MOVWF      INDF
;__Lib_Conversions.c,95 :: 		
0x0156	0x300A      	MOVLW      10
0x0157	0x00F4      	MOVWF      R4
0x0158	0x01F5      	CLRF       R4+1
0x0159	0x0867      	MOVF       FARG_WordToStr_input, 0
0x015A	0x00F0      	MOVWF      R0
0x015B	0x0868      	MOVF       FARG_WordToStr_input+1, 0
0x015C	0x00F1      	MOVWF      R0+1
0x015D	0x20C8      	CALL       _Div_16x16_U
0x015E	0x0870      	MOVF       R0, 0
0x015F	0x00E7      	MOVWF      FARG_WordToStr_input
0x0160	0x0871      	MOVF       R0+1, 0
0x0161	0x00E8      	MOVWF      FARG_WordToStr_input+1
;__Lib_Conversions.c,96 :: 		
0x0162	0x3000      	MOVLW      0
0x0163	0x0671      	XORWF      R0+1, 0
0x0164	0x1D03      	BTFSS      STATUS, 2
0x0165	0x2968      	GOTO       L__WordToStr109
0x0166	0x3000      	MOVLW      0
0x0167	0x0670      	XORWF      R0, 0
L__WordToStr109:
0x0168	0x1D03      	BTFSS      STATUS, 2
0x0169	0x296B      	GOTO       L_WordToStr11
;__Lib_Conversions.c,97 :: 		
0x016A	0x296D      	GOTO       L_WordToStr10
L_WordToStr11:
;__Lib_Conversions.c,98 :: 		
